Usia,Jenis_Kelamin,Status_Perkawinan,Jumlah_Anak,Pendidikan,Produk_Tabungan,Produk_Deposito,Produk_Kartu_Kredit,Pendapatan,Riwayat_Transaksi,Saldo_Rata_rata,Jalur_Pembukaan
64,Perempuan,Cerai,2,SMA,1,1,1,2796,40,7823,Cabang
56,Perempuan,Menikah,2,Magister,1,1,0,7199,87,5640,Marketing
43,Perempuan,Menikah,3,SMA,1,0,0,7799,55,7579,Cabang
47,Perempuan,Cerai,1,SMA,1,0,1,5079,54,3245,Marketing
32,Perempuan,Belum Menikah,4,Magister,1,0,1,4628,17,4919,Marketing
21,Perempuan,Belum Menikah,1,SMA,0,1,1,6747,5,5515,Aplikasi Digital
52,Laki-laki,Cerai,4,SMA,1,0,0,7077,83,3184,Cabang
21,Laki-laki,Cerai,3,Sarjana,1,1,1,3178,13,9873,Aplikasi Digital
57,Laki-laki,Cerai,2,Magister,1,1,0,4930,52,8769,Cabang
29,Perempuan,Belum Menikah,2,Sarjana,1,0,1,2362,48,3756,Cabang
58,Laki-laki,Belum Menikah,2,SMA,0,1,1,3660,92,2258,Cabang
59,Laki-laki,Menikah,4,Magister,1,0,0,6054,76,4961,Aplikasi Digital
39,Laki-laki,Menikah,2,Sarjana,1,1,0,6722,80,1939,Marketing
46,Laki-laki,Menikah,3,Magister,1,1,0,6959,73,3590,Aplikasi Digital
42,Laki-laki,Cerai,1,Magister,0,1,0,7439,61,3295,Aplikasi Digital
24,Laki-laki,Cerai,1,SMA,1,1,0,5064,92,2433,Cabang
28,Perempuan,Cerai,1,Sarjana,0,1,1,3519,81,9638,Marketing
35,Perempuan,Cerai,3,Magister,1,1,1,4805,4,5869,Marketing
19,Laki-laki,Menikah,3,Magister,0,1,1,7820,46,9019,Marketing
36,Perempuan,Belum Menikah,0,Sarjana,1,1,1,2486,52,8411,Marketing
33,Perempuan,Menikah,2,Sarjana,0,1,0,3176,28,7632,Cabang
53,Perempuan,Menikah,4,Sarjana,1,0,0,5787,48,1272,Marketing
30,Laki-laki,Cerai,2,SMA,0,0,0,6115,44,4225,Cabang
55,Laki-laki,Menikah,4,SMA,0,1,1,5403,82,1592,Cabang
21,Perempuan,Cerai,3,Magister,0,1,1,4635,4,2743,Marketing
23,Laki-laki,Belum Menikah,2,Sarjana,0,0,1,5432,16,2623,Aplikasi Digital
35,Perempuan,Cerai,4,SMA,1,1,0,4183,82,2522,Cabang
29,Laki-laki,Cerai,4,Magister,1,0,1,2141,20,8052,Aplikasi Digital
63,Perempuan,Belum Menikah,1,SMA,0,1,0,5701,75,2821,Cabang
38,Perempuan,Belum Menikah,4,SMA,0,0,1,5879,10,9888,Marketing
25,Perempuan,Belum Menikah,2,Sarjana,0,1,0,3507,58,2858,Marketing
44,Perempuan,Belum Menikah,0,SMA,0,0,0,7293,3,5364,Aplikasi Digital
51,Laki-laki,Belum Menikah,4,SMA,0,0,0,3455,55,9022,Cabang
53,Perempuan,Menikah,3,Sarjana,0,1,0,3668,6,8893,Marketing
45,Perempuan,Menikah,3,Magister,0,0,0,3312,16,2213,Marketing
44,Perempuan,Menikah,2,Sarjana,1,0,0,7835,66,1790,Marketing
56,Perempuan,Cerai,1,Sarjana,1,1,0,5408,35,5746,Cabang
55,Perempuan,Menikah,3,Sarjana,0,0,0,7997,56,5590,Aplikasi Digital
44,Laki-laki,Menikah,0,SMA,1,0,1,5006,7,4619,Cabang
44,Perempuan,Cerai,3,Magister,1,1,0,7864,48,7319,Aplikasi Digital
64,Perempuan,Belum Menikah,3,Magister,0,0,1,7301,49,6466,Aplikasi Digital
40,Laki-laki,Menikah,3,SMA,1,1,1,6966,45,7597,Cabang
